"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
45111-00112,불빛공원,어린이공원,,전라북도 전주시 완산구 효자동2가 1322,35.805541,127.1024188779,2579,다목적구장+운동기구,조합놀이대+그네,정자+벤치,,,2006-04-27,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00113,나무향공원,어린이공원,,전라북도 전주시 완산구 효자동2가 1329-7,35.809874,127.105874,2276,운동기구,조합놀이대+시소+그네,정자+벤치,,,2006-04-27,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00114,용호근린공원,근린공원,,전라북도 전주시 완산구 효자동2가 1333-2,35.8068980583,127.104279,31330,배드민턴장+게이트볼구장+이라인스케이트장+운동기구,조합놀이대,정자+화장실+벤치,,수경설비,2006-04-27,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00115,모꼬지공원,근린공원,전라북도 전주시 완산구 강변로 260,전라북도 전주시 완산구 효자동2가 1-7,35.81309246,127.1127717,18059,,,,,,2007-12-26,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00116,우전공원,어린이공원,,전라북도 전주시 완산구 효자동2가 306,35.7991459,127.1041882,3094,,,,,,2007-12-26,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00117,신주공원,어린이공원,,전라북도 전주시 완산구 효자동2가 335,35.8010698,127.1024329,1633,,물놀이,,,,2012-12-21,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00118,천잠공원,근린공원,,전라북도 전주시 완산구 효자동2가 산 139,35.8102156521,127.0844872302,813872,,,,,,1995-06-29,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00119,백로공원,근린공원,,전라북도 전주시 완산구 효자동2가 산 61,35.8008763,127.1074326,55017,,,,,,2012-12-21,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00120,모롱지공원,근린공원,,전라북도 전주시 완산구 효자동3가 1407-3,35.8365006352,127.1033146332,11657,배드민턴장+게이트볼구장+테니스장+운동기구,조합놀이대,정자+화장실+벤치,,,1994-11-07,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00121,서중공원,어린이공원,,전라북도 전주시 완산구 효자동3가 1433,35.8352748,127.1001981083,1684,농구대+운동기구,조합놀이대.시소,정자+화장실+벤치,,,1994-11-07,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00122,신덕공원,어린이공원,,전라북도 전주시 완산구 효자동3가 1443-2,35.8341299,127.1025975,2482,운동기구,조합놀이대+시소+그네,정자벤치,,,1994-11-07,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00123,양지뜸공원,어린이공원,,전라북도 전주시 완산구 효자동3가 1473-4,35.8323436,127.0983312788,4842,운동기구,조합놀이대,정자+벤치,,,1994-11-07,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00124,서곡공원,근린공원,전라북도 전주시 완산구 서곡2길 29-6,전라북도 전주시 완산구 효자동3가 1485,35.8337889,127.1041528,29536,족구장+운동기구,,정자+화장실+벤치,,,1994-11-07,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00125,서곡공원,어린이공원,,전라북도 전주시 완산구 효자동3가 1487,35.829822,127.0987812,2871,운동기구,,정자+벤치,야외무대,,1994-11-07,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00126,문학대2공원,근린공원,,전라북도 전주시 완산구 효자동3가 1523-2,35.8276686185,127.1097689140,71962,농구대+배드민턴장+게이트볼구장+X게임장+운동기구,,정자+화장실+벤치,,,2002-07-12,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00127,마전숲,근린공원,,전라북도 전주시 완산구 효자동3가 1526-1,35.8187032952,127.1106341,17848,배드민턴장+농구대+운동기구,조합놀이대,정자+화장실+벤치,,수경설비,2002-07-12,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00128,서부제5공원,근린공원,,전라북도 전주시 완산구 효자동3가 1578,35.8296093639,127.0970700298,39618,,,,,,2002-07-12,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00129,서부제4공원,근린공원,,전라북도 전주시 완산구 효자동3가 1580,35.8302066,127.0996597057,17448,,,,,,2002-07-12,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00130,문학대1공원,근린공원,,전라북도 전주시 완산구 효자동3가 1587,35.8291884248,127.1051163990,25693,,,화장실+벤치,,유적지,2002-07-12,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00131,효자제1호공원,어린이공원,,전라북도 전주시 완산구 효자동3가 1604-29,35.8271027797,127.1014206,1629,,조합놀이대,정자+벤치,,,2002-07-12,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00132,효자제2호공원,어린이공원,,전라북도 전주시 완산구 효자동3가 1615-22,35.826979,127.1033266,1672.4,농구대+운동기구,조합놀이대+그네,정자+벤치,,,2002-07-12,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00133,효자제3호공원,어린이공원,,전라북도 전주시 완산구 효자동3가 1641-7,35.8233173843,127.0996972,1721.1,,조합놀이대+시소,정자+벤치,,,2002-07-12,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00134,효자제4호공원,어린이공원,,전라북도 전주시 완산구 효자동3가 1687-13,35.8200044195,127.0996948,1721,운동기구,조합놀이대+시소,정자+벤치,,,2002-07-12,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00135,효자제5호공원,어린이공원,,전라북도 전주시 완산구 효자동3가 1713-18,35.8164307,127.0962956,1580.4,농구대+다목적구장+운동기구,조합놀이대,정자+벤치,,,2002-07-12,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00136,바위백이공원,근린공원,,전라북도 전주시 완산구 효자동3가 1858,35.8170027052,127.0999914937,59814,운동기구,,정자,,,2002-07-12,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00137,효자묘지공원,묘지공원,,전라북도 전주시 완산구 효자동3가 산 136-1,35.8268731,127.0914374808,421320,,,,,,1979-01-23,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00138,효자공원,근린공원,,전라북도 전주시 완산구 효자동2가 1364-2,35.8371983,127.1048155,3240,,,벤치,,,2006-02-17,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00139,이목대공원,소공원,전라북도 전주시 완산구 자만동3길 4-1,전라북도 전주시 완산구 교동 54-16,35.8144091,127.1560596,264,,,,,,2018-12-14,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45111-00140,역사도심공원,소공원,,전라북도 전주시 완산구 고사동 324-14,35.820872,127.1404709591,208,,,,,,2018-04-30,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00001,덕진공원,근린공원,전라북도 전주시 덕진구 권삼득로 390,전라북도 전주시 덕진구 덕진동1가 1316-2,35.84749476,127.1210312,3373838,배드민턴장+축구장+풋살구장,그네,화장실+벤치+매점,,음악분수,1938-05-09,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00002,팔복첨단산업3-1,근린공원,전라북도 전주시 덕진구 반룡1길 18-3,전라북도 전주시 덕진구 팔복동2가 589,35.85988555,127.0898288,17397.5,배드민턴장+운동기구,,정자+화장실+벤치,,,1938-05-09,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00003,진북공원,어린이공원,전라북도 전주시 덕진구 벚꽃2길 6,전라북도 전주시 덕진구 진북동 1031-5,35.82791173,127.132693,1279,,조합놀이대,벤치,,,1962-01-26,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00004,가련산공원,근린공원,,전라북도 전주시 덕진구 덕진동2가 산 27-1,35.8436246,127.1192136,299713,운동기구,,벤치,,,1966-02-10,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00005,오공공원,근린공원,,전라북도 전주시 덕진구 중동 830,35.8328441574,127.0536116648,18988,운동기구,,정자+벤치,,,1966-02-10,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00006,정문공원,근린공원,,전라북도 전주시 덕진구 중동 832,35.8327715538,127.0665020737,35918,운동기구,,정자+화장실+벤치,,,1966-02-10,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00007,금암공원,어린이공원,전라북도 전주시 덕진구 떡전4길 22-5,전라북도 전주시 덕진구 금암동 756-4,35.8368538,127.1294517,2033.7,게이트볼구장+운동기구,조합놀이대+시소+그네,정자+벤치,,,1968-07-18,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00008,인후공원,근린공원,,전라북도 전주시 덕진구 인후동1가 산 4-6,35.8418516,127.1605316636,451980,운동기구,,정자+화장실+벤치,,,1970-04-14,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00009,황방산공원,근린공원,,전라북도 전주시 덕진구 팔복동3가 산 238-1,35.8393425,127.0974924445,2157909,,,,,,1970-04-14,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00010,꾀꼬리공원,어린이공원,전라북도 전주시 덕진구 삼송5길 12,전라북도 전주시 덕진구 금암동 1546-1,35.84330727,127.1372986,3303,게이트볼구장+운동기구,조합놀이대,벤치,,,1976-03-27,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00011,금암체련공원,어린이공원,전라북도 전주시 덕진구 매봉16길 8,전라북도 전주시 덕진구 금암동 1575-7,35.83858803,127.1413128,3304.9,게이트볼구장+운동기구,조합놀이대,정자+벤치,,,1976-03-27,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00012,우아2공원,어린이공원,,전라북도 전주시 덕진구 우아동3가 747-84,35.8506305197,127.1547066703,1140,,,벤치,,,1976-03-27,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00013,소공공원,어린이공원,전라북도 전주시 덕진구 우아10길 21-24,전라북도 전주시 덕진구 우아동3가 743-23,35.85382317,127.1568998,1371.8,운동기구,조합놀이대+시소+그네,정자,,,1976-03-27,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00014,동신공원,어린이공원,전라북도 전주시 덕진구 우아6길 24,전라북도 전주시 덕진구 우아동3가 744-139,35.8508605,127.1586183,1000.6,운동기구,시소,벤치,,,1976-03-27,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00015,우아1공원,어린이공원,,전라북도 전주시 덕진구 우아동3가 747-84,35.8506305197,127.1547065,1252,,,벤치,,,1976-03-27,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00016,황산공원,어린이공원,,전라북도 전주시 덕진구 우아동3가 750-49,35.8452209,127.1558857265,1000.7,운동기구,조합놀이대+그네,정자+벤치,,,1976-03-27,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00017,신기공원,어린이공원,,전라북도 전주시 덕진구 우아동3가 753-29,35.8473041273,127.1630224,333.2,운동기구,조합놀이대,벤치,,,1976-03-27,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00018,구숙사공원,어린이공원,전라북도 전주시 덕진구 명주3길 56,전라북도 전주시 덕진구 인후동2가 1544-8,35.84090844,127.1471596,3066,게이트볼구장+운동기구,조합놀이대+그네,정자+화장실+벤치,,,1976-03-27,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00019,금평공원,어린이공원,전라북도 전주시 덕진구 명주4길 9,전라북도 전주시 덕진구 인후동2가 1556-1,35.8448602,127.1495855,3305.2,게이트볼구장+운동기구,조합놀이대+시소+그네,정자+화장실+벤치,,,1976-03-27,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00020,숲정이공원,어린이공원,,전라북도 전주시 덕진구 진북동 834-60,35.8303267809,127.1302487746,1550,,조합놀이대+시소+그네+미끄럼틀,정자+벤치,,,1982-08-24,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00021,는들공원,근린공원,,전라북도 전주시 덕진구 중동 808,35.833529,127.0658052860,16675.1,배구장+족구장+축구장+운동기구,시소,정자+화장실+벤치,,수경설비,1984-11-08,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00022,산정공원,어린이공원,전라북도 전주시 덕진구 아중천1길 40,전라북도 전주시 덕진구 산정동 878-9,35.83570289,127.170663,1500,운동기구,조합놀이대,정자+벤치,,,1985-07-31,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00023,하인교공원,어린이공원,전라북도 전주시 덕진구 인교로 25-5,전라북도 전주시 덕진구 우아동1가 1104-1,35.8249724,127.1713421,1500,농구대+운동기구,조합놀이대,정자+벤치,,,1985-07-31,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00024,수성로공원,어린이공원,,전라북도 전주시 덕진구 우아동1가 1118-1,35.8263103,127.175069,1158,운동기구,,정자+벤치,,,1985-07-31,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00025,호동골공원,어린이공원,전라북도 전주시 덕진구 동부대로 371,전라북도 전주시 덕진구 우아동1가 1124-5,35.8254205,127.1772739,1973,운동기구,조합놀이대+시소,화장실+벤치,,,1985-07-31,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00026,석소공원,어린이공원,전라북도 전주시 덕진구 석소2길 14-5,전라북도 전주시 덕진구 우아동2가 873-1,35.8342553,127.1692889,1500,농구대+운동기구,조합놀이대,정자+벤치,,,1985-07-31,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00027,왜들공원,어린이공원,,전라북도 전주시 덕진구 우아동2가 895-6,35.8321076,127.1719287,1500,운동기구,조합놀이대,정자+벤치,,,1985-07-31,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00028,오동제공원,어린이공원,,전라북도 전주시 덕진구 우아동2가 910-4,35.8287199005,127.1704995115,1500,농구대+운동기구,조합놀이대+그네,정자+벤치,,,1985-07-31,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00029,진버들공원,어린이공원,,전라북도 전주시 덕진구 인후동1가 802-2,35.8355400084,127.1633275,2550,농구대+운동기구,조합놀이대+그네,정자+화장실+벤치,,,1985-07-31,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00030,북가재미공원,어린이공원,,전라북도 전주시 덕진구 인후동1가 843-1,35.8319092,127.1614936795,1500,농구대+운동기구,조합놀이대,정자+벤치,,,1985-07-31,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00031,도란길공원,어린이공원,전라북도 전주시 덕진구 건산로 238,전라북도 전주시 덕진구 인후동1가 845-3,35.8342223,127.1633686,1500,운동기구,조합놀이대+시소+그네,정자+벤치,,,1985-07-31,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00032,구총목공원,어린이공원,,전라북도 전주시 덕진구 인후동1가 882-1,35.8292439,127.1625277,1500,운동기구,조합놀이대,정자+벤치,,,1985-07-31,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00033,꿈마을공원,어린이공원,,전라북도 전주시 덕진구 인후동1가 890-2,35.8303238,127.1668328,2280,운동기구,조합놀이대,정자+벤치,,,1985-07-31,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00034,가재미공원,어린이공원,,전라북도 전주시 덕진구 인후동1가 906-1,35.8261569,127.1621407,1500,농구대+운동기구,조합놀이대,정자+벤치,,,1985-07-31,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00035,하평공원,어린이공원,,전라북도 전주시 덕진구 인후동1가 918-2,35.8280352,127.1654984548,1500,농구대+운동기구,조합놀이대.그네,정자+벤치,,,1985-07-31,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00036,한범로공원,어린이공원,,전라북도 전주시 덕진구 인후동1가 943-6,35.8238151,127.1672959,1500,농구대+운동기구,조합놀이대+그네,정자+벤치,,,1985-07-31,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00037,문화로공원,어린이공원,,전라북도 전주시 덕진구 인후동1가 951-5,35.8271027248,127.1700718,1500,농구대+운동기구,조합놀이대,정자+벤치,,,1985-07-31,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00038,북일길공원,어린이공원,전라북도 전주시 덕진구 안골5길 7-4,전라북도 전주시 덕진구 우아동3가 756-5,35.8429704,127.1551273,1502,운동기구,조합놀이대,정자+벤치,,,1985-12-30,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00039,안골공원,어린이공원,,전라북도 전주시 덕진구 인후동1가 753-4,35.8408157125,127.1570832,1502,운동기구,조합놀이대+그네,정자+벤치,,,1985-12-30,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00040,안골노인복지공원,어린이공원,,전라북도 전주시 덕진구 인후동1가 764-6,35.8381589,127.1571397,1502,게이트볼구장+운동기구,,벤치,,,1985-12-30,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00041,언덕공원,어린이공원,,전라북도 전주시 덕진구 인후동1가 774-1,35.8352807170,127.1535205,1502,농구대+운동기구,조합놀이대,벤치,,,1985-12-30,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00042,팔과공원,근린공원,,전라북도 전주시 덕진구 팔복동2가 830-7,35.8596025005,127.0900692496,11512.8,농구대+게이트볼구장,시소+그네,정자+화장실+벤치,,수경설비,1986-05-08,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00043,팔복지구 3호공원,근린공원,전라북도 전주시 덕진구 학산길 26-6,전라북도 전주시 덕진구 팔복동2가 505,35.8558169,127.0932998,7176,회전무대+정글집+농구대+배드민턴장+운동기구,시소,정자+화장실+벤치,,,1988-12-30,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00044,신덕공원,어린이공원,,전라북도 전주시 덕진구 우아동2가 854-1,35.8377147336,127.1662817,1655.9,운동기구,조합놀이대,정자+벤치,,,1993-08-17,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00045,중상보공원,근린공원,,전라북도 전주시 덕진구 우아동2가 907,35.8305316288,127.1711276,11384,배구장+축구장+농구대+운동기구,조합놀이대,정자+화장실+벤치,,,1993-08-17,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00046,아람길공원,근린공원,,전라북도 전주시 덕진구 인후동1가 858-3,35.8310248454,127.1678172348,10066,족구장+게이트볼구장+운동기구,,정자+화장실+벤치,,수경설비,1993-08-17,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00047,팔복공원,근린공원,전라북도 전주시 덕진구 서귀로 107,전라북도 전주시 덕진구 팔복동3가 404,35.85144205,127.0870282,20723,족구장+게이트볼구장+농구대+운동기구,조합놀이대+시소+그네,정자+화장실+벤치,,,1994-07-29,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00048,붓내공원,어린이공원,,전라북도 전주시 덕진구 송천동2가 1270,35.868031,127.1253815,1650,운동기구,조합놀이대,정자+벤치,,,1995-12-30,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00049,솔내공원,어린이공원,,전라북도 전주시 덕진구 송천동2가 1274,35.8668845,127.1268701,2000,농구대+운동기구,조합놀이대,정자+벤치,,,1995-12-30,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00050,송천제2호공원,어린이공원,,전라북도 전주시 덕진구 송천동1가 844-8,35.8614203321,127.1176707584,2004.1,운동기구,조합놀이대,벤치,,,2001-07-23,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00051,송천유적공원,어린이공원,,전라북도 전주시 덕진구 송천동1가 816-1,35.8650166749,127.1187477,6760.6,운동기구,조합놀이대,화장실+벤치,,,2004-04-03,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00052,나들목공원,근린공원,,전라북도 전주시 덕진구 용정동 124-41,35.8754524,127.0555936140,56941,운동기구,,화장실+벤치,,,2004-05-21,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00053,아중18호공원,어린이공원,,전라북도 전주시 덕진구 우아동2가 869-2,35.8344393,127.1692888260,1500,운동기구,,벤치,,,2005-07-29,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00054,하늘공원,근린공원,,전라북도 전주시 덕진구 덕진동2가 682,35.8452358,127.1071352294,25864,농구대+운동기구,,정자+벤치,,수경설비,2005-08-05,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00055,쇠똥구리공원,어린이공원,전라북도 전주시 덕진구 호반6길 26-5,전라북도 전주시 덕진구 덕진동2가 726,35.85229684,127.1186639,1555,,조합놀이대,정자+벤치,,,2005-08-05,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00056,반딧불이공원,어린이공원,전라북도 전주시 덕진구 호반6길 26-5,전라북도 전주시 덕진구 덕진동2가 726,35.85229684,127.1186639,1791,,조합놀이대,정자+벤치,,,2005-08-05,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00057,여울목공원,어린이공원,전라북도 전주시 덕진구 호반6길 26-5,전라북도 전주시 덕진구 덕진동2가 726,35.85229684,127.1186639,2515,,조합놀이대,벤치,,,2005-08-05,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00058,월평공원,어린이공원,,전라북도 전주시 덕진구 만성동 1188-6,35.835815,127.073567,1592.1,,,,,,2008-03-04,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00059,월방공원,소공원,,전라북도 전주시 덕진구 만성동 1194-3,35.8346685542,127.0726076505,6035.2,,,,,,2008-03-04,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00060,월방공원,어린이공원,,전라북도 전주시 덕진구 만성동 1194-3,35.8346685542,127.0726076505,1756.8,,,,,,2008-03-04,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00061,기린공원,근린공원,전라북도 전주시 덕진구 한배미6길 23,전라북도 전주시 덕진구 인후동1가 산 153-3,35.82258424,127.1692571,2476835,,,,,,2008-03-04,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00062,마당재공원,근린공원,,전라북도 전주시 덕진구 인후동1가 925,35.8240242349,127.1623490150,13865,,,,,,2008-03-04,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00063,기지재,수변공원,,전라북도 전주시 덕진구 장동 1094,35.8412478477,127.0644981716,191762,,,,,,2008-03-04,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00064,여의공원,어린이공원,,전라북도 전주시 덕진구 반월동 248-6,35.8715160857,127.0760843225,1496,,,,,,2008-06-20,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00065,179호 붓내구역,소공원,,전라북도 전주시 덕진구 송천동2가 270-5,35.8680381,127.1235233,197,,,,,,2008-06-20,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00066,160호 붓내구역,소공원,전라북도 전주시 덕진구 붓내5길 11,전라북도 전주시 덕진구 송천동2가 453-23,35.8687265,127.122497,133,,,,,,2008-06-20,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00067,우아구역,소공원,,전라북도 전주시 덕진구 우아동3가 386,35.8433132622,127.1648846638,425,,,,,,2008-06-20,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00068,원중공원,소공원,,전라북도 전주시 덕진구 장동 1092-1,35.843344,127.0638563247,3987.9,,,,,,2008-06-20,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00069,정문공원,소공원,,전라북도 전주시 덕진구 중동 779-15,35.835826,127.0599445754,431.5,,,,,,2008-06-20,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00070,중동공원,근린공원,,전라북도 전주시 덕진구 중동 787-11,35.833591,127.0621413057,20625.8,,,,,수경설비,2008-09-10,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00071,만성어린 5,어린이공원,,전라북도 전주시 덕진구 만성동 1028-2,35.8398361,127.0719803,1514,,,,,수경설비,2008-12-12,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00072,만성수변,수변공원,,전라북도 전주시 덕진구 만성동 1063,35.8435031,127.0704111,55047,,,,,,2008-12-12,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00073,만성어린 1,어린이공원,,전라북도 전주시 덕진구 만성동 240,35.8456323,127.0817119,1879,,,,,,2008-12-12,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00074,만성지구 1,근린공원,,전라북도 전주시 덕진구 만성동 458,35.841164,127.0744742,58582,,,,,,2008-12-12,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00075,만성어린 4,어린이공원,,전라북도 전주시 덕진구 만성동 574,35.8378935,127.0759124,6895,,,,,,2008-12-12,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00076,만성어린 2,어린이공원,,전라북도 전주시 덕진구 만성동 산 85,35.8418104,127.0794203,3137,,,,,,2008-12-12,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00077,만성문화,문화공원,,전라북도 전주시 덕진구 만성동 1339-18,35.8493880131,127.0792610143,18019,,,,,,2008-12-13,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00078,종광대,소공원,,전라북도 전주시 덕진구 인후동1가 176-22,35.8308589,127.1513332,765,,,,,,2009-02-24,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00079,만성어린 3,어린이공원,,전라북도 전주시 덕진구 만성동 398-20,35.8451605,127.0783565,2631,,,,,,2009-12-10,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00080,동산구역,소공원,전라북도 전주시 덕진구 덕용2길 23,전라북도 전주시 덕진구 동산동 571-41,35.86992524,127.0792306,2292,,,,,,2010-03-18,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00081,서찰방공원,소공원,,전라북도 전주시 덕진구 만성동 1168-8,35.8343405993,127.067871,327.7,,,,,,2010-12-16,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
45113-00082,찰방공원,어린이공원,,전라북도 전주시 덕진구 만성동 1174-3,35.8339361748,127.0696925427,1852,,,,,,2010-12-16,전라북도 전주시 자원순환본부 산림공원과,063-281-2689,2023-01-01
